dataset;ranking
yelp.csv;MostPopular,WRMF,BPRMF,WeightedBPRMF,SoftMarginRankingMF
movietweetings_recsys2014.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-apps.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-cd.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-food.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-tools.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
yahoo-music.csv;WRMF,WeightedBPRMF,BPRMF,MostPopular,SoftMarginRankingMF
amazon-office.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
bookcrossing.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-health.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-toys.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-beauty.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-digital-music.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
jester2.csv;MostPopular,WRMF,BPRMF,SoftMarginRankingMF
amazon-kindle.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-sports.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-phones.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-instruments.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
movielens20m.csv;WRMF,BPRMF,MostPopular,SoftMarginRankingMF,WeightedBPRMF
amazon-garden.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
jester3.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
flixter.csv;BPRMF,MostPopular,SoftMarginRankingMF,WeightedBPRMF,WRMF
movielens10m.csv;WRMF,BPRMF,MostPopular,WeightedBPRMF,SoftMarginRankingMF
jester1.csv;MostPopular,WRMF,BPRMF,SoftMarginRankingMF
amazon-clothes.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-automotive.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-instant-video.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
movietweetings_latest.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-home.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-movies.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-pet-supplies.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-baby.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
yahoo-movies.csv;WRMF,BPRMF,MostPopular,WeightedBPRMF,SoftMarginRankingMF
movielens_latest.csv;BPRMF,MostPopular,WRMF,SoftMarginRankingMF,WeightedBPRMF
movielens100k.csv;WRMF,BPRMF,WeightedBPRMF,SoftMarginRankingMF,MostPopular
movielens1m.csv;BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF,MostPopular
tripadvisor.csv;BPRMF,SoftMarginRankingMF,MostPopular,WeightedBPRMF
amazon-games.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
