dataset;ranking
yelp.csv;0.7947918,0.7881105,0.7826374,0.7350194,0.7249318
movietweetings_recsys2014.csv;0.8573812,0.8529938,0.7995366,0.7048248
amazon-apps.csv;0.903824,0.9020351,0.859912,0.7314293,0.3862177
amazon-cd.csv;0.7651905,0.7612447,0.6933656,0.6682952,0.558977
amazon-food.csv;0.7654339,0.7581604,0.6898687,0.6069596,0.3610851
amazon-tools.csv;0.7728702,0.7670331,0.694088,0.6031626,0.305537
yahoo-music.csv;0.9430927,0.9298252,0.9235507,0.9216042,0.8780649
amazon-office.csv;0.788052,0.782685,0.7105865,0.5764248,0.2905137
bookcrossing.csv;0.7099972,0.6980925,0.6852579,0.6283291,0.5898433
amazon-health.csv;0.8004413,0.7959896,0.7283948,0.6156675,0.3088421
amazon-toys.csv;0.7582516,0.7519706,0.6790506,0.6054397,0.3417274
amazon-beauty.csv;0.7676336,0.7611884,0.6888657,0.3410608
amazon-digital-music.csv;0.7729772,0.7685611,0.6904401,0.6146127,0.394596
jester2.csv;0.9669498,0.9657545,0.9540032,0.9045073
amazon-kindle.csv;0.76182,0.759305,0.6935817,0.5615658
amazon-sports.csv;0.7743646,0.7679654,0.6935962,0.3336551
amazon-phones.csv;0.829475,0.826388,0.7615021,0.6318031,0.2666999
amazon-instruments.csv;0.7659122,0.759494,0.6881891,0.5894942,0.3058447
movielens20m.csv;0.9565691,0.9513432,0.9481378,0.930007,0.9268056
amazon-garden.csv;0.7755134,0.7706233,0.6972595,0.5785341,0.2926388
jester3.csv;0.9097617,0.9059078,0.8930057,0.8843035,0.4755682
flixter.csv;0.9650292,0.9546897,0.9489917,0.9388632,0.9293041
movielens10m.csv;0.9543135,0.9486797,0.9335848,0.9261109,0.9260933
jester1.csv;0.9660451,0.9647622,0.9532418,0.8985465
amazon-clothes.csv;0.764516,0.758674,0.6823819,0.6100667,0.3096477
amazon-automotive.csv;0.7431715,0.7355726,0.6600455,0.5875889,0.3270895
amazon-instant-video.csv;0.8768055,0.8750644,0.8249196,0.6134177,0.2461067
movietweetings_latest.csv;0.8678646,0.8633653,0.8114543,0.804112,0.7699372
amazon-home.csv;0.8055714,0.8011703,0.7322496,0.6382621,0.2871055
amazon-movies.csv;0.7959107,0.7952754,0.7337307,0.6348124,0.4316873
amazon-pet-supplies.csv;0.8056514,0.8008793,0.733586,0.3213541
amazon-baby.csv;0.8003591,0.7950565,0.7257189,0.6510486,0.3121058
yahoo-movies.csv;0.8973387,0.8883265,0.8824472,0.8498856,0.8449091
movielens_latest.csv;0.9493553,0.9476703,0.9437751,0.9257396,0.9196628
movielens100k.csv;0.914973,0.9076601,0.8759773,0.8671953,0.8050154
movielens1m.csv;0.9149601,0.9079407,0.8751124,0.8681946,0.8403924
tripadvisor.csv;0.8426008,0.8061191,0.8044612,0.6617938
amazon-games.csv;0.8200655,0.815653,0.7534065,0.6229211,0.3624104
