dataset;ranking
yelp.csv;0.1219677,0.1115195,0.110048,0.10795,0.0960271
movietweetings_recsys2014.csv;0.2405258,0.2372008,0.1925157,0.1879723
amazon-apps.csv;0.1608155,0.1597509,0.138037,0.1296872,0.09501778
amazon-cd.csv;0.09210822,0.0916899,0.08997976,0.08495319,0.08215062
amazon-food.csv;0.1166385,0.1159815,0.09756154,0.09491273,0.08072873
amazon-tools.csv;0.1029715,0.102386,0.08857574,0.08807515,0.07361324
yahoo-music.csv;0.4717361,0.3856353,0.3284432,0.3184627,0.2655472
amazon-office.csv;0.1132561,0.1126764,0.09631325,0.08986867,0.07784721
bookcrossing.csv;0.1378692,0.1361206,0.1345477,0.1169061,0.1156686
amazon-health.csv;0.1070047,0.106415,0.08975185,0.08696102,0.07369657
amazon-toys.csv;0.1020211,0.1014499,0.08700539,0.08634399,0.07389757
amazon-beauty.csv;0.1030324,0.1024303,0.08824321,0.07603057
amazon-digital-music.csv;0.1245985,0.1241782,0.1092031,0.1035973,0.09300058
jester2.csv;0.9701092,0.9657426,0.9413527,0.8631369
amazon-kindle.csv;0.1060177,0.1053588,0.0883889,0.08763085
amazon-sports.csv;0.09619351,0.09552117,0.08329366,0.07142024
amazon-phones.csv;0.1137178,0.1132033,0.09350017,0.09322263,0.0714399
amazon-instruments.csv;0.133678,0.1325495,0.1083002,0.1057257,0.0855066
movielens20m.csv;0.4503882,0.3435005,0.3419673,0.3356274,0.2836634
amazon-garden.csv;0.1117812,0.1111641,0.09558044,0.09198735,0.07856126
jester3.csv;0.8474765,0.832246,0.8296132,0.722966,0.365977
flixter.csv;0.353176,0.2970565,0.2840626,0.2817364,0.2461163
movielens10m.csv;0.4733635,0.3646211,0.3621455,0.358836,0.3039185
jester1.csv;0.968483,0.9638678,0.9385086,0.8583162
amazon-clothes.csv;0.08622737,0.08584487,0.07793303,0.0764731,0.06614257
amazon-automotive.csv;0.1061466,0.1054113,0.09029935,0.08951829,0.07638744
amazon-instant-video.csv;0.1969288,0.1950615,0.1512125,0.1336747,0.09669892
movietweetings_latest.csv;0.2504193,0.2210391,0.217038,0.1941712,0.1807547
amazon-home.csv;0.09806375,0.09750957,0.08493751,0.08385914,0.06921504
amazon-movies.csv;0.2063164,0.2032051,0.1710789,0.1688181,0.1484618
amazon-pet-supplies.csv;0.1190489,0.1181992,0.100834,0.08187152
amazon-baby.csv;0.1228687,0.1215871,0.1061981,0.1036589,0.08366935
yahoo-movies.csv;0.3912066,0.3368842,0.3364175,0.2968569,0.2569766
movielens_latest.csv;0.3795431,0.2904287,0.2897903,0.2849218,0.2353374
movielens100k.csv;0.5271875,0.4989691,0.423063,0.4174599,0.3866864
movielens1m.csv;0.472976,0.4564842,0.378387,0.3777167,0.3714992
tripadvisor.csv;0.2773918,0.1325431,0.1213009,0.117741
amazon-games.csv;0.1346116,0.1338575,0.1087283,0.1020226,0.08577045
