dataset;ranking
yelp.csv;0.2440634,0.2500953,0.254681,0.2547596,0.2552643,0.2842397,0.2842397,0.2864876,0.2895207
movietweetings_recsys2014.csv;1.879898e-05,1.879898e-05,0.05345417,0.3021936,0.4686088,0.4818684,0.519684
amazon-apps.csv;0.2360525,0.2376072,0.2412149,0.2412471,0.2418905,0.2523218,0.2656691,0.2656691,0.2761022
amazon-cd.csv;0.1789992,0.1809256,0.190142,0.1904737,0.1906494,0.196865,0.2007923,0.2007923,0.3774853
amazon-food.csv;0.2287197,0.2292008,0.2358872,0.2359241,0.236458,0.2463869,0.2463869,0.2468033,0.4255916
amazon-tools.csv;0.239022,0.241581,0.2470516,0.2470655,0.2476876,0.258669,0.258669,0.2610752,0.4239824
yahoo-music.csv;0.1776818,0.2872666,0.3087749,0.3662047,0.3662047,0.414252,0.4913369,0.8717122
amazon-office.csv;0.2618513,0.2661537,0.2705173,0.2705652,0.2716615,0.2857517,0.2857517,0.2885785,0.4030322
bookcrossing.csv;0.1487353,0.1529552,0.1621335,0.1621951,0.1625172,0.1762121,0.1770361,0.1770361,0.3626442
amazon-health.csv;0.2469441,0.2485367,0.2537143,0.2537811,0.2544224,0.2672689,0.2672689,0.2702945,0.3699303
amazon-toys.csv;0.2240154,0.2303452,0.2376134,0.2376229,0.2386225,0.253231,0.253231,0.2547691,0.4272254
amazon-beauty.csv;0.2475251,0.2490663,0.2538566,0.2540169,0.2544723,0.2625657,0.2625657,0.2643747,0.430171
amazon-digital-music.csv;0.1591275,0.1598159,0.1669521,0.1671428,0.1672673,0.1696287,0.1714232,0.1714232,0.5618577
jester2.csv;0.1520754,0.1582008,0.1665972,0.1700204,0.2062168,0.2111265,0.2111265,0.2217838
amazon-kindle.csv;0.1926242,0.2003869,0.2091339,0.2097872,0.210114,0.2224759,0.2241429,0.2241429,0.3841571
amazon-sports.csv;0.2279495,0.2293773,0.2343858,0.2343918,0.234799,0.2438448,0.2438448,0.2459049,0.4297173
amazon-phones.csv;0.2830915,0.2868174,0.2894782,0.2895472,0.2905033,0.3118612,0.3118612,0.3153623,0.3785023
amazon-instruments.csv;0.2198087,0.2205721,0.2258865,0.2259044,0.2263183,0.2347691,0.2347691,0.2353358,0.4665817
movielens20m.csv;0.1326061,0.1327318,0.1467365,0.1592767,0.1664876,0.1868555,0.1868555
amazon-garden.csv;0.2568208,0.2609935,0.2659011,0.26591,0.2669716,0.2806145,0.2806145,0.2840301,0.4033155
jester3.csv;0.1707267,0.1761959,0.1864836,0.1945606,0.2181998,0.2181998,0.2361615,0.2452037,0.2472979
flixter.csv;0.1385596,0.1390269,0.163944,0.1708564,0.1713268,0.1733964,0.17371,0.193563,0.193563
movielens10m.csv;0.1350557,0.1350575,0.1483304,0.1617355,0.1639944,0.1684574,0.1701444,0.1705177,0.1901316
jester1.csv;0.1518943,0.1577158,0.1664825,0.1692901,0.2042355,0.207994,0.207994,0.2209558
amazon-clothes.csv;0.2326512,0.2343736,0.2382344,0.2382579,0.2385527,0.2457426,0.2457426,0.2481917,0.4643364
amazon-automotive.csv;0.2358139,0.2395033,0.2450891,0.2451089,0.2455943,0.2529882,0.2529882,0.2538854,0.5249758
amazon-instant-video.csv;0.1876701,0.1882326,0.19607,0.1962105,0.1972427,0.2240535,0.2242434,0.2242434,0.247257
movietweetings_latest.csv;0.1069081,0.1073493,0.1073733,0.1104618,0.1202671,0.1210105,0.1449733,0.1449733,0.1960588
amazon-home.csv;0.2441849,0.2469969,0.2522671,0.2522795,0.2528712,0.2654141,0.2654141,0.2696681,0.3769075
amazon-movies.csv;0.2078039,0.2222469,0.2261007,0.2289153,0.2291839,0.2301678,0.2520173,0.2520173,0.2776618
amazon-pet-supplies.csv;0.2461816,0.2477623,0.2529275,0.2529709,0.2535954,0.2676245,0.2676245,0.2710046,0.3674632
amazon-baby.csv;0.2366238,0.2372131,0.2422306,0.2423106,0.242876,0.257402,0.257402,0.2621991,0.3447425
yahoo-movies.csv;0.1828593,0.1889434,0.1893598,0.1986811,0.1997079,0.200334,0.2212046,0.2289321,0.2289321
movielens_latest.csv;0.1346055,0.1348229,0.1488178,0.1616141,0.1686827,0.1879646,0.1879646
movielens100k.csv;0.1835419,0.1851087,0.1866785,0.1869843,0.1879382,0.1882055,0.1889397,0.236177,0.236177
movielens1m.csv;0.1670171,0.1681067,0.1753841,0.1766123,0.179737,0.1797956,0.1807435,0.2334654,0.2334654
tripadvisor.csv;1.790259e-06,2.310504e-06,3.030011e-06,3.603989e-06,6.906359e-06,6.906359e-06,0.1273527
amazon-games.csv;0.2460724,0.2481389,0.2525883,0.2526075,0.2532107,0.2756326,0.2756326,0.2814179,0.3021395
