dataset;ranking
yelp.csv;1.235454,1.238614,1.248949,1.249319,1.251343,1.366517,1.366517,1.414353,1.469868
movietweetings_recsys2014.csv;3.763062000,3.763062000,28.2683900000,149.9826,186.765,189.3812,196.2546
amazon-apps.csv;1.224964,1.225552,1.234146,1.234684,1.2381,1.332156,1.353408,1.353408,1.413741
amazon-cd.csv;0.9647235,0.9791872,0.9975843,0.9994701,1.000282,1.043598,1.052233,1.052233,1.955749
amazon-food.csv;1.186206,1.198871,1.212086,1.212195,1.21484,1.253094,1.253094,1.266483,2.147791
amazon-tools.csv;1.219257,1.239048,1.251369,1.251499,1.255119,1.307348,1.307348,1.323877,2.139386
yahoo-music.csv;2.570683,3.993876,3.993876,4.452989,4.678986,5.702753,6.343575,18.82025
amazon-office.csv;1.301788,1.321835,1.33096,1.331013,1.336632,1.417825,1.417825,1.43208,2.038107
bookcrossing.csv;0.7456936,0.7601266,0.7780119,0.7782055,0.7794266,0.8265225,0.8265225,0.834631,1.946659
amazon-health.csv;1.252498,1.264496,1.275004,1.275064,1.27875,1.336448,1.336448,1.36047,1.890946
amazon-toys.csv;1.15146,1.18741,1.205751,1.205982,1.212016,1.279026,1.279026,1.292541,2.15306
amazon-beauty.csv;1.247211,1.257882,1.267872,1.268089,1.270606,1.311283,1.311283,1.330644,2.142998
amazon-digital-music.csv;0.8837024,0.8994347,0.9179016,0.9193117,0.9205405,0.952243,0.9600664,0.9600664,2.762608
jester2.csv;1.098677,3.822021,3.970619,4.041193,4.091048,4.897799,4.897799,5.147103
amazon-kindle.csv;1.014374,1.05491,1.07764,1.078876,1.080867,1.14229,1.14229,1.151574,1.985134
amazon-sports.csv;1.167579,1.183758,1.195504,1.19563,1.198564,1.239123,1.239123,1.255195,2.182872
amazon-phones.csv;1.380593,1.386185,1.39015,1.390459,1.39484,1.469836,1.469836,1.502529,1.903023
amazon-instruments.csv;1.135711,1.152071,1.164729,1.164742,1.167718,1.203419,1.203419,1.210942,2.326
movielens20m.csv;0.781715,0.7850096,0.8238519,0.8563517,0.8748304,1.051989,1.051989
amazon-garden.csv;1.285339,1.310812,1.321398,1.321426,1.326679,1.400583,1.400583,1.415279,2.035793
jester3.csv;1.149337,1.174803,4.122876,4.35107,4.407674,4.942996,5.016219,5.016219,6.130995
flixter.csv;0.8391639,0.8456739,0.8633159,0.8889454,0.8970553,0.898702,1.074671,1.091972,1.091972
movielens10m.csv;0.7910422,0.7935752,0.8329407,0.8626637,0.8714699,0.8733072,0.8749321,0.9436124,1.060418
jester1.csv;1.092111,3.785952,3.937207,4.015681,4.063143,4.836182,4.836182,5.074103
amazon-clothes.csv;1.173775,1.189358,1.19931,1.19937,1.201295,1.233103,1.233103,1.250014,2.304401
amazon-automotive.csv;1.21161,1.234887,1.248206,1.248214,1.251273,1.284295,1.284295,1.293304,2.546224
amazon-instant-video.csv;1.033326,1.05734,1.075021,1.075283,1.080721,1.163449,1.163449,1.175384,1.40365
movietweetings_latest.csv;1.452634,1.458495,1.463374,1.50489,1.642527,1.675529,1.869556,1.869556,3.113686
amazon-home.csv;1.241535,1.255823,1.266879,1.267192,1.270925,1.331728,1.331728,1.360417,1.934166
amazon-movies.csv;1.085285,1.152359,1.164724,1.165935,1.168947,1.192701,1.276173,1.276173,1.436833
amazon-pet-supplies.csv;1.245409,1.254648,1.264341,1.264517,1.267782,1.331529,1.331529,1.358937,1.876461
amazon-baby.csv;1.199563,1.207976,1.218317,1.218738,1.222146,1.289488,1.289488,1.322015,1.781512
yahoo-movies.csv;1.021552,1.022884,1.042347,1.047315,1.049543,1.070398,1.187393,1.208295,1.208295
movielens_latest.csv;0.7941909,0.7980808,0.8355153,0.8671806,0.8858939,1.058456,1.058456
movielens100k.csv;0.9391263,0.941958,0.9436413,0.9481037,0.9494567,0.9506224,0.9527184,1.125666,1.125666
movielens1m.csv;0.8553841,0.8562118,0.889514,0.8997828,0.906105,0.9065167,0.9107975,1.1171,1.1171
tripadvisor.csv;1.431975,1.974872,2.633013,2.842256,3.248927,3.248927,6.301448
amazon-games.csv;1.249484,1.261685,1.270093,1.270267,1.274022,1.378933,1.378933,1.408953,1.53996
